127.0.0.1 - - [20/Sep/2022:22:42:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:42:36 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:42:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:49:28 +0900] "GET /JSP_STUDY/STUDY0905/updateForm.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:49:46 +0900] "GET /JSP_STUDY/STUDY0905/updateForm.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:50:11 +0900] "GET /JSP_STUDY/STUDY0905/updateForm.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:53:55 +0900] "POST /JSP_STUDY/STUDY0905/updatePro.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:08:45 +0900] "GET /JSP_STUDY/STUDY_CRUD/select.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:08:52 +0900] "GET /JSP_STUDY/STUDY_CRUD/updateForm.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:08:55 +0900] "POST /JSP_STUDY/STUDY_CRUD/updatePro.jsp HTTP/1.1" 500 3953
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:09:00 +0900] "POST /JSP_STUDY/STUDY_CRUD/updatePro.jsp HTTP/1.1" 500 3953
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:09:46 +0900] "GET /JSP_STUDY/STUDY_CRUD/updateForm.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:09:49 +0900] "POST /JSP_STUDY/STUDY_CRUD/updatePro.jsp HTTP/1.1" 500 3953
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:10:12 +0900] "POST /JSP_STUDY/STUDY_CRUD/updatePro.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:29:21 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:30:16 +0900] "GET /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:30:19 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:30:26 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:32:08 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:32:15 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:32:58 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:33:04 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:34:39 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:34:44 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:34:48 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:35:02 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 500 3967
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:36:16 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:36:19 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:36:25 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:36:35 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:36:42 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:37:25 +0900] "GET /JSP_STUDY/STUDY_CRUD/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:37:42 +0900] "POST /JSP_STUDY/STUDY_CRUD/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:37:42 +0900] "GET /JSP_STUDY/STUDY_CRUD/select.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:37:53 +0900] "POST /JSP_STUDY/STUDY_CRUD/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:37:53 +0900] "GET /JSP_STUDY/STUDY_CRUD/select.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:00 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:05 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:12 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:47 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:54 +0900] "POST /JSP_STUDY/STUDY_CRUD/deletePro.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [20/Sep/2022:23:38:55 +0900] "GET /JSP_STUDY/STUDY_CRUD/deleteForm.jsp HTTP/1.1" 200 367
